Date,Open,High,Low,Close
Friday,2024-06-14,5424.08,5429.47,5403.75,5419.66
Thursday,2024-06-13,5441.93,5441.93,5402.51,5433.74
Wednesday,2024-06-12,5409.13,5447.25,5409.13,5421.03
Tuesday,2024-06-11,5353.0,5375.95,5327.25,5375.32
Monday,2024-06-10,5341.22,5365.79,5331.52,5360.79
Friday,2024-06-07,5343.81,5375.08,5331.33,5346.99
Thursday,2024-06-06,5357.8,5362.35,5335.36,5352.96
Wednesday,2024-06-05,5314.48,5354.16,5297.64,5354.03
Tuesday,2024-06-04,5278.24,5298.8,5257.63,5291.34
Monday,2024-06-03,5297.15,5302.11,5234.32,5283.4
Friday,2024-05-31,5243.21,5280.33,5191.68,5277.51
Thursday,2024-05-30,5259.77,5260.21,5222.1,5235.48
Wednesday,2024-05-29,5278.73,5282.27,5262.7,5266.95
Tuesday,2024-05-28,5315.91,5315.91,5280.89,5306.04
Friday,2024-05-24,5281.45,5311.65,5278.39,5304.72
Thursday,2024-05-23,5340.26,5341.88,5256.93,5267.84
Wednesday,2024-05-22,5319.28,5323.18,5286.01,5307.01
Tuesday,2024-05-21,5298.69,5324.32,5297.87,5321.41
Monday,2024-05-20,5305.35,5325.32,5302.4,5308.13
Friday,2024-05-17,5303.1,5305.45,5283.59,5303.27
Thursday,2024-05-16,5310.07,5325.49,5296.19,5297.1
Wednesday,2024-05-15,5263.26,5311.76,5263.26,5308.15
Tuesday,2024-05-14,5221.1,5250.37,5217.98,5246.68
Monday,2024-05-13,5233.08,5237.26,5211.16,5221.42
Friday,2024-05-10,5225.49,5239.66,5209.68,5222.68
Thursday,2024-05-09,5189.03,5215.3,5180.41,5214.08
Wednesday,2024-05-08,5168.98,5191.95,5165.86,5187.67
Tuesday,2024-05-07,5187.2,5200.23,5178.96,5187.7
Monday,2024-05-06,5142.42,5181.0,5142.42,5180.74
Friday,2024-05-03,5122.78,5139.12,5101.22,5127.79
Thursday,2024-05-02,5049.32,5073.21,5011.05,5064.2
Wednesday,2024-05-01,5029.03,5096.12,5013.45,5018.39
Tuesday,2024-04-30,5103.78,5110.83,5035.31,5035.69
Monday,2024-04-29,5114.13,5123.49,5088.65,5116.17
Friday,2024-04-26,5084.65,5114.62,5073.14,5099.96
Thursday,2024-04-25,5019.88,5057.75,4990.58,5048.42
Wednesday,2024-04-24,5084.86,5089.48,5047.02,5071.63
Tuesday,2024-04-23,5028.85,5076.12,5027.96,5070.55
Monday,2024-04-22,4987.33,5038.84,4969.4,5010.6
Friday,2024-04-19,5005.44,5019.02,4953.56,4967.23
Thursday,2024-04-18,5031.52,5056.66,5001.89,5011.12
Wednesday,2024-04-17,5068.97,5077.96,5007.25,5022.21
Tuesday,2024-04-16,5064.59,5079.84,5039.83,5051.41
Monday,2024-04-15,5149.67,5168.43,5052.47,5061.82
Friday,2024-04-12,5171.51,5175.03,5107.94,5123.41
Thursday,2024-04-11,5172.95,5211.78,5138.77,5199.06
Wednesday,2024-04-10,5167.88,5178.43,5138.7,5160.64
Tuesday,2024-04-09,5217.03,5224.81,5160.78,5209.91
Monday,2024-04-08,5211.37,5219.57,5197.35,5202.39
Friday,2024-04-05,5158.95,5222.18,5157.21,5204.34
Thursday,2024-04-04,5244.05,5256.59,5146.06,5147.21
Wednesday,2024-04-03,5194.37,5228.75,5194.37,5211.49
Tuesday,2024-04-02,5204.29,5208.34,5184.05,5205.81
Monday,2024-04-01,5257.97,5263.95,5229.2,5243.77
